Report.Number,Date.of.Occurrence,Time.of.Occurrence,City,Crime,Victim.Age,Victim.Gender,Severity,Latitude,Longitude
51,01-03-2020,17.10,Nagpur,BURGLARY,54,F,2,21.1498134,79.0820556
52,01-03-2020,19.13,Kolkata,BURGLARY,38,F,2,22.5726459,88.3638953
53,01-03-2020,22.01,Ghaziabad,PUBLIC INTOXICATION,29,M,1,28.7749966,77.4586967
54,01-03-2020,18.47,Delhi,BURGLARY,75,M,2,28.6328027,77.2197713
55,01-03-2020,7.47,Pune,FIREARM OFFENSE,61,F,2,18.5213738,73.8545071
56,01-03-2020,11.11,Meerut,BURGLARY,49,F,2,29.0018557,77.7679671
57,01-03-2020,20.16,Kanpur,SEXUAL ASSAULT,67,F,3,26.4609135,80.3217588
58,01-03-2020,9.43,Ahmedabad,ASSAULT,70,F,3,23.0215374,72.5800568
59,01-03-2020,2.40,Chennai,TRAFFIC VIOLATION,75,F,1,13.0836939,80.270186
60,01-03-2020,5.33,Thane,SHOPLIFTING,53,F,1,19.1943294,72.9701779
61,01-03-2020,15.04,Mumbai,SHOPLIFTING,16,M,1,19.054999,72.8692035
62,01-03-2020,3.32,Surat,DRUG OFFENSE,30,M,2,21.2094892,72.8317058
63,01-03-2020,9.27,Chennai,FRAUD,56,M,2,13.0836939,80.270186
64,01-03-2020,23.24,Thane,ILLEGAL POSSESSION,19,F,2,19.1943294,72.9701779
65,01-03-2020,0.59,Visakhapatnam,DRUG OFFENSE,58,F,2,17.6935526,83.2921297
66,01-03-2020,11.49,Lucknow,EXTORTION,45,F,3,26.8381,80.9346001
67,01-03-2020,17.48,Bhopal,CYBERCRIME,25,M,2,23.2584857,77.401989
68,01-03-2020,8.46,Visakhapatnam,BURGLARY,22,M,2,17.6935526,83.2921297
69,01-03-2020,2.24,Hyderabad,PUBLIC INTOXICATION,59,F,1,17.360589,78.4740613
70,01-03-2020,17.23,Visakhapatnam,FIREARM OFFENSE,31,F,2,17.6935526,83.2921297
71,01-03-2020,0.50,Kolkata,FIREARM OFFENSE,58,F,2,22.5726459,88.3638953
72,01-03-2020,11.34,Nagpur,ARSON,53,F,3,21.1498134,79.0820556
73,01-04-2020,7.58,Lucknow,BURGLARY,35,F,2,26.8381,80.9346001
74,01-04-2020,3.01,Chennai,ARSON,36,M,3,13.0836939,80.270186
75,01-04-2020,1.45,Ahmedabad,CYBERCRIME,70,F,2,23.0215374,72.5800568
76,01-04-2020,20.57,Delhi,VANDALISM,52,M,1,28.6328027,77.2197713
77,01-04-2020,14.30,Mumbai,KIDNAPPING,25,F,3,19.054999,72.8692035
78,01-04-2020,17.02,Indore,IDENTITY THEFT,58,F,1,22.7203616,75.8681996
79,01-04-2020,3.40,Mumbai,ROBBERY,39,F,3,19.054999,72.8692035
80,01-04-2020,23.54,Visakhapatnam,VEHICLE - STOLEN,54,F,2,17.6935526,83.2921297
81,01-04-2020,23.33,Delhi,ASSAULT,61,F,3,28.6328027,77.2197713
82,01-04-2020,15.37,Jaipur,FRAUD,16,F,2,26.9154576,75.8189817
83,01-04-2020,9.17,Mumbai,ROBBERY,25,F,3,19.054999,72.8692035
84,01-04-2020,6.13,Kolkata,TRAFFIC VIOLATION,72,F,1,22.5726459,88.3638953
85,01-04-2020,12.40,Lucknow,PUBLIC INTOXICATION,48,M,1,26.8381,80.9346001
86,01-04-2020,6.42,Mumbai,VANDALISM,22,M,1,19.054999,72.8692035
87,01-04-2020,16.00,Lucknow,PUBLIC INTOXICATION,30,F,1,26.8381,80.9346001
88,01-04-2020,22.04,Rajkot,ROBBERY,11,F,3,22.3053263,70.8028377
89,01-04-2020,21.21,Mumbai,HOMICIDE,16,F,3,19.054999,72.8692035
90,01-04-2020,6.38,Hyderabad,VEHICLE - STOLEN,73,F,2,17.360589,78.4740613
91,01-04-2020,17.15,Kolkata,BURGLARY,72,F,2,22.5726459,88.3638953
92,01-04-2020,9.21,Jaipur,CYBERCRIME,60,F,2,26.9154576,75.8189817
93,01-04-2020,7.36,Hyderabad,FRAUD,53,M,2,17.360589,78.4740613
94,01-04-2020,8.12,Mumbai,SEXUAL ASSAULT,42,F,3,19.054999,72.8692035
95,01-04-2020,22.16,Vasai,PUBLIC INTOXICATION,10,M,1,19.3428238,72.805441
96,01-04-2020,14.10,Hyderabad,DRUG OFFENSE,51,F,2,17.360589,78.4740613
97,01-05-2020,15.36,Nagpur,IDENTITY THEFT,26,F,1,21.1498134,79.0820556
98,01-05-2020,2.56,Kolkata,SEXUAL ASSAULT,71,M,3,22.5726459,88.3638953
99,01-05-2020,14.38,Hyderabad,IDENTITY THEFT,74,F,1,17.360589,78.4740613
100,01-05-2020,6.41,Hyderabad,DRUG OFFENSE,13,F,2,17.360589,78.4740613
101,01-05-2020,14.02,Ahmedabad,PUBLIC INTOXICATION,50,F,1,23.0215374,72.5800568
102,01-05-2020,22.34,Mumbai,EXTORTION,69,F,3,19.054999,72.8692035
103,01-05-2020,17.43,Kanpur,ASSAULT,34,F,3,26.4609135,80.3217588
104,01-05-2020,14.13,Mumbai,VEHICLE - STOLEN,38,F,2,19.054999,72.8692035
105,01-05-2020,19.30,Lucknow,FRAUD,44,F,2,26.8381,80.9346001
106,01-05-2020,10.05,Hyderabad,VEHICLE - STOLEN,69,F,2,17.360589,78.4740613
107,01-05-2020,17.21,Lucknow,DOMESTIC VIOLENCE,12,F,3,26.8381,80.9346001
108,01-05-2020,9.35,Bangalore,ARSON,21,F,3,12.9767936,77.590082
109,01-05-2020,0.07,Chennai,PUBLIC INTOXICATION,55,F,1,13.0836939,80.270186
110,01-05-2020,23.32,Delhi,ARSON,15,F,3,28.6328027,77.2197713
111,01-05-2020,23.24,Visakhapatnam,ILLEGAL POSSESSION,58,F,2,17.6935526,83.2921297
112,01-05-2020,7.02,Delhi,COUNTERFEITING,37,F,2,28.6328027,77.2197713
113,01-05-2020,14.55,Bangalore,HOMICIDE,49,F,3,12.9767936,77.590082
114,01-05-2020,6.42,Surat,EXTORTION,30,M,3,21.2094892,72.8317058
115,01-05-2020,8.02,Pune,FIREARM OFFENSE,50,F,2,18.5213738,73.8545071
116,01-05-2020,6.26,Mumbai,BURGLARY,64,F,2,19.054999,72.8692035
117,01-05-2020,10.15,Lucknow,VANDALISM,43,M,1,26.8381,80.9346001
118,01-05-2020,2.16,Delhi,DRUG OFFENSE,32,M,2,28.6328027,77.2197713
119,01-05-2020,23.48,Mumbai,ILLEGAL POSSESSION,14,M,2,19.054999,72.8692035
120,01-05-2020,7.04,Pune,TRAFFIC VIOLATION,70,M,1,18.5213738,73.8545071
121,01-06-2020,12.16,Ahmedabad,VEHICLE - STOLEN,78,F,2,23.0215374,72.5800568
122,01-06-2020,22.59,Delhi,KIDNAPPING,22,F,3,28.6328027,77.2197713
123,01-06-2020,0.00,Bhopal,VANDALISM,60,F,1,23.2584857,77.401989
124,01-06-2020,6.56,Ludhiana,SEXUAL ASSAULT,44,F,3,30.9090157,75.851601
125,01-06-2020,19.19,Pune,FRAUD,30,M,2,18.5213738,73.8545071
126,01-06-2020,5.15,Pune,ASSAULT,62,F,3,18.5213738,73.8545071
127,01-06-2020,0.44,Surat,FIREARM OFFENSE,42,F,2,21.2094892,72.8317058
128,01-06-2020,2.17,Ghaziabad,IDENTITY THEFT,73,F,1,28.7749966,77.4586967
129,01-06-2020,12.39,Kanpur,SHOPLIFTING,25,M,1,26.4609135,80.3217588
130,01-06-2020,14.55,Ghaziabad,ROBBERY,33,M,3,28.7749966,77.4586967
131,01-06-2020,19.26,Agra,ARSON,13,F,3,27.1752554,78.0098161
132,01-06-2020,6.55,Lucknow,IDENTITY THEFT,39,F,1,26.8381,80.9346001
133,01-06-2020,19.17,Bangalore,HOMICIDE,18,M,3,12.9767936,77.590082
134,01-06-2020,0.56,Lucknow,ILLEGAL POSSESSION,75,F,2,26.8381,80.9346001
135,01-06-2020,7.26,Delhi,VANDALISM,50,F,1,28.6328027,77.2197713
136,01-06-2020,2.16,Delhi,FRAUD,71,F,2,28.6328027,77.2197713
137,01-06-2020,1.01,Ahmedabad,PUBLIC INTOXICATION,38,F,1,23.0215374,72.5800568
138,01-06-2020,20.11,Mumbai,ASSAULT,12,M,3,19.054999,72.8692035
139,01-06-2020,7.11,Kanpur,KIDNAPPING,57,F,3,26.4609135,80.3217588
140,01-06-2020,1.17,Jaipur,CYBERCRIME,47,F,2,26.9154576,75.8189817
141,01-06-2020,14.13,Delhi,DOMESTIC VIOLENCE,73,F,3,28.6328027,77.2197713
142,01-06-2020,6.34,Mumbai,FIREARM OFFENSE,41,F,2,19.054999,72.8692035
143,01-06-2020,12.37,Mumbai,ILLEGAL POSSESSION,45,F,2,19.054999,72.8692035
144,01-06-2020,16.49,Varanasi,ASSAULT,79,F,3,25.3356491,83.0076292
145,01-07-2020,3.38,Ludhiana,IDENTITY THEFT,17,M,1,30.9090157,75.851601
146,01-07-2020,16.44,Kolkata,PUBLIC INTOXICATION,15,F,1,22.5726459,88.3638953
147,01-07-2020,18.49,Meerut,CYBERCRIME,44,F,2,29.0018557,77.7679671
148,01-07-2020,22.27,Bangalore,COUNTERFEITING,28,F,2,12.9767936,77.590082
149,01-07-2020,1.09,Agra,IDENTITY THEFT,41,F,1,27.1752554,78.0098161
150,01-07-2020,11.19,Patna,SHOPLIFTING,46,F,1,25.6093239,85.1235252
151,01-07-2020,13.59,Bhopal,DRUG OFFENSE,35,F,2,23.2584857,77.401989
152,01-07-2020,16.17,Bangalore,ILLEGAL POSSESSION,67,M,2,12.9767936,77.590082
153,01-07-2020,17.21,Delhi,IDENTITY THEFT,23,F,1,28.6328027,77.2197713
154,01-07-2020,19.49,Chennai,KIDNAPPING,39,F,3,13.0836939,80.270186
155,01-07-2020,19.37,Bangalore,DOMESTIC VIOLENCE,48,F,3,12.9767936,77.590082
156,01-07-2020,12.05,Pune,DOMESTIC VIOLENCE,71,F,3,18.5213738,73.8545071
157,01-07-2020,13.48,Hyderabad,COUNTERFEITING,32,F,2,17.360589,78.4740613
158,01-07-2020,3.32,Ahmedabad,HOMICIDE,18,F,3,23.0215374,72.5800568
159,01-07-2020,6.49,Delhi,VEHICLE - STOLEN,38,F,2,28.6328027,77.2197713
160,01-07-2020,14.26,Kolkata,ASSAULT,27,F,3,22.5726459,88.3638953
161,01-07-2020,9.21,Meerut,COUNTERFEITING,30,F,2,29.0018557,77.7679671
162,01-07-2020,17.22,Surat,CYBERCRIME,17,F,2,21.2094892,72.8317058
163,01-07-2020,9.50,Pune,SHOPLIFTING,39,F,1,18.5213738,73.8545071
164,01-07-2020,2.04,Pune,ARSON,66,F,3,18.5213738,73.8545071
165,01-07-2020,6.07,Ghaziabad,SEXUAL ASSAULT,11,F,3,28.7749966,77.4586967
166,01-07-2020,0.42,Ahmedabad,VANDALISM,54,M,1,23.0215374,72.5800568
167,01-07-2020,5.25,Delhi,VANDALISM,79,M,1,28.6328027,77.2197713
168,01-07-2020,2.01,Delhi,FRAUD,12,F,2,28.6328027,77.2197713
169,01-08-2020,0.14,Lucknow,DRUG OFFENSE,19,F,2,26.8381,80.9346001
170,01-08-2020,5.22,Kalyan,TRAFFIC VIOLATION,21,F,1,19.2396742,73.1366482
171,01-08-2020,18.43,Agra,COUNTERFEITING,24,M,2,27.1752554,78.0098161
172,01-08-2020,1.57,Jaipur,TRAFFIC VIOLATION,58,M,1,26.9154576,75.8189817
173,01-08-2020,13.20,Hyderabad,SEXUAL ASSAULT,51,F,3,17.360589,78.4740613
174,01-08-2020,1.34,Indore,DRUG OFFENSE,40,F,2,22.7203616,75.8681996
175,01-08-2020,10.27,Surat,ROBBERY,64,M,3,21.2094892,72.8317058
176,01-08-2020,22.06,Lucknow,BURGLARY,66,F,2,26.8381,80.9346001
177,01-08-2020,2.25,Chennai,FIREARM OFFENSE,28,F,2,13.0836939,80.270186
178,01-08-2020,16.59,Mumbai,ILLEGAL POSSESSION,54,F,2,19.054999,72.8692035
179,01-08-2020,7.31,Agra,FRAUD,42,F,2,27.1752554,78.0098161
180,01-08-2020,2.31,Pune,DOMESTIC VIOLENCE,72,M,3,18.5213738,73.8545071
181,01-08-2020,7.34,Bangalore,TRAFFIC VIOLATION,23,F,1,12.9767936,77.590082
182,01-08-2020,12.16,Mumbai,CYBERCRIME,53,F,2,19.054999,72.8692035
183,01-08-2020,17.18,Ahmedabad,SEXUAL ASSAULT,28,F,3,23.0215374,72.5800568
184,01-08-2020,23.28,Hyderabad,SEXUAL ASSAULT,27,F,3,17.360589,78.4740613
185,01-08-2020,17.27,Mumbai,FRAUD,67,F,2,19.054999,72.8692035
186,01-08-2020,8.32,Bangalore,FRAUD,70,F,2,12.9767936,77.590082
187,01-08-2020,10.28,Delhi,VANDALISM,75,F,1,28.6328027,77.2197713
188,01-08-2020,18.53,Nagpur,IDENTITY THEFT,66,F,1,21.1498134,79.0820556
189,01-08-2020,3.24,Hyderabad,EXTORTION,24,F,3,17.360589,78.4740613
190,01-08-2020,21.24,Chennai,CYBERCRIME,44,M,2,13.0836939,80.270186
191,01-08-2020,15.53,Chennai,KIDNAPPING,63,F,3,13.0836939,80.270186
192,01-08-2020,20.39,Delhi,IDENTITY THEFT,18,M,1,28.6328027,77.2197713
193,01-09-2020,5.28,Ghaziabad,PUBLIC INTOXICATION,19,F,1,28.7749966,77.4586967
194,01-09-2020,4.00,Jaipur,DOMESTIC VIOLENCE,49,M,3,26.9154576,75.8189817
195,01-09-2020,8.16,Delhi,ILLEGAL POSSESSION,33,F,2,28.6328027,77.2197713
196,01-09-2020,0.18,Lucknow,DOMESTIC VIOLENCE,56,M,3,26.8381,80.9346001
197,01-09-2020,15.55,Ahmedabad,PUBLIC INTOXICATION,32,M,1,23.0215374,72.5800568
198,01-09-2020,10.20,Hyderabad,EXTORTION,25,F,3,17.360589,78.4740613
199,01-09-2020,21.01,Delhi,ARSON,62,F,3,28.6328027,77.2197713
200,01-09-2020,2.06,Nashik,HOMICIDE,56,F,3,20.0112475,73.7902364
201,01-09-2020,4.27,Srinagar,COUNTERFEITING,27,F,2,34.0747444,74.8204443
202,01-09-2020,18.52,Nagpur,FRAUD,63,M,2,21.1498134,79.0820556
203,01-09-2020,12.58,Mumbai,DRUG OFFENSE,34,F,2,19.054999,72.8692035
204,01-09-2020,13.00,Lucknow,KIDNAPPING,16,F,3,26.8381,80.9346001
205,01-09-2020,2.34,Hyderabad,SHOPLIFTING,59,F,1,17.360589,78.4740613
206,01-09-2020,23.51,Thane,VEHICLE - STOLEN,44,F,2,19.1943294,72.9701779
207,01-09-2020,12.37,Bangalore,COUNTERFEITING,21,F,2,12.9767936,77.590082
208,01-09-2020,20.15,Patna,ASSAULT,59,M,3,25.6093239,85.1235252
209,01-09-2020,17.29,Hyderabad,EXTORTION,41,F,3,17.360589,78.4740613
210,01-09-2020,6.07,Kolkata,PUBLIC INTOXICATION,43,F,1,22.5726459,88.3638953
211,01-09-2020,20.05,Bhopal,COUNTERFEITING,15,M,2,23.2584857,77.401989
212,01-09-2020,14.15,Delhi,FIREARM OFFENSE,34,M,2,28.6328027,77.2197713
213,01-09-2020,7.00,Kolkata,IDENTITY THEFT,19,F,1,22.5726459,88.3638953
214,01-09-2020,2.45,Bangalore,VEHICLE - STOLEN,73,M,2,12.9767936,77.590082
215,01-09-2020,0.56,Delhi,SEXUAL ASSAULT,44,M,3,28.6328027,77.2197713
216,01-09-2020,9.23,Ahmedabad,SHOPLIFTING,14,F,1,23.0215374,72.5800568
217,01-10-2020,5.32,Kolkata,COUNTERFEITING,73,M,2,22.5726459,88.3638953
218,01-10-2020,23.36,Surat,FRAUD,49,F,2,21.2094892,72.8317058
219,01-10-2020,8.44,Pune,TRAFFIC VIOLATION,61,M,1,18.5213738,73.8545071
220,01-10-2020,17.27,Nagpur,BURGLARY,68,F,2,21.1498134,79.0820556
221,01-10-2020,3.16,Kolkata,VEHICLE - STOLEN,24,F,2,22.5726459,88.3638953
222,01-10-2020,5.29,Ludhiana,KIDNAPPING,69,F,3,30.9090157,75.851601
223,01-10-2020,19.37,Bangalore,FRAUD,55,F,2,12.9767936,77.590082
224,01-10-2020,23.31,Chennai,ROBBERY,49,F,3,13.0836939,80.270186
225,01-10-2020,0.10,Bangalore,CYBERCRIME,40,F,2,12.9767936,77.590082
226,01-10-2020,15.46,Surat,HOMICIDE,51,F,3,21.2094892,72.8317058
227,01-10-2020,23.35,Mumbai,VANDALISM,35,F,1,19.054999,72.8692035
228,01-10-2020,1.56,Pune,COUNTERFEITING,65,F,2,18.5213738,73.8545071
229,01-10-2020,4.03,Jaipur,VEHICLE - STOLEN,61,F,2,26.9154576,75.8189817
230,01-10-2020,8.27,Ahmedabad,VANDALISM,35,M,1,23.0215374,72.5800568
231,01-10-2020,22.47,Pune,IDENTITY THEFT,45,M,1,18.5213738,73.8545071
232,01-10-2020,4.38,Patna,ARSON,32,F,3,25.6093239,85.1235252
233,01-10-2020,19.09,Mumbai,HOMICIDE,11,F,3,19.054999,72.8692035
234,01-10-2020,3.46,Kolkata,ASSAULT,40,M,3,22.5726459,88.3638953
235,01-10-2020,20.30,Mumbai,TRAFFIC VIOLATION,23,F,1,19.054999,72.8692035
236,01-10-2020,22.34,Ludhiana,ARSON,14,M,3,30.9090157,75.851601
237,01-10-2020,6.53,Visakhapatnam,CYBERCRIME,23,M,2,17.6935526,83.2921297
238,01-10-2020,4.23,Chennai,CYBERCRIME,35,M,2,13.0836939,80.270186
239,01-10-2020,10.13,Delhi,FIREARM OFFENSE,65,M,2,28.6328027,77.2197713
240,01-10-2020,11.41,Hyderabad,FIREARM OFFENSE,51,F,2,17.360589,78.4740613
241,01-11-2020,0.34,Mumbai,COUNTERFEITING,35,F,2,19.054999,72.8692035
242,01-11-2020,3.03,Bangalore,VANDALISM,59,F,1,12.9767936,77.590082
243,01-11-2020,11.51,Pune,FRAUD,48,F,2,18.5213738,73.8545071
244,01-11-2020,10.11,Kalyan,SEXUAL ASSAULT,18,F,3,19.2396742,73.1366482
245,01-11-2020,14.49,Nagpur,ROBBERY,58,F,3,21.1498134,79.0820556
246,01-11-2020,17.14,Kolkata,ILLEGAL POSSESSION,65,F,2,22.5726459,88.3638953
247,01-11-2020,8.58,Nagpur,EXTORTION,38,F,3,21.1498134,79.0820556
248,01-11-2020,20.32,Ahmedabad,IDENTITY THEFT,77,F,1,23.0215374,72.5800568
249,01-11-2020,7.14,Thane,DOMESTIC VIOLENCE,70,F,3,19.1943294,72.9701779
250,01-11-2020,21.57,Nagpur,EXTORTION,11,F,3,21.1498134,79.0820556
251,01-11-2020,2.39,Delhi,FIREARM OFFENSE,45,F,2,28.6328027,77.2197713
252,01-11-2020,15.11,Thane,SHOPLIFTING,71,F,1,19.1943294,72.9701779
253,01-11-2020,1.17,Hyderabad,TRAFFIC VIOLATION,11,M,1,17.360589,78.4740613
254,01-11-2020,15.04,Nashik,ILLEGAL POSSESSION,39,M,2,20.0112475,73.7902364
255,01-11-2020,21.38,Meerut,FIREARM OFFENSE,68,M,2,29.0018557,77.7679671
256,01-11-2020,6.45,Kolkata,PUBLIC INTOXICATION,76,M,1,22.5726459,88.3638953
257,01-11-2020,0.13,Hyderabad,EXTORTION,47,M,3,17.360589,78.4740613
258,01-11-2020,17.21,Ahmedabad,IDENTITY THEFT,22,F,1,23.0215374,72.5800568
259,01-11-2020,22.11,Mumbai,EXTORTION,33,M,3,19.054999,72.8692035
260,01-11-2020,8.18,Indore,KIDNAPPING,55,F,3,22.7203616,75.8681996
261,01-11-2020,1.13,Chennai,BURGLARY,11,F,2,13.0836939,80.270186
262,01-11-2020,7.49,Ghaziabad,COUNTERFEITING,49,M,2,28.7749966,77.4586967
263,01-11-2020,8.50,Kolkata,IDENTITY THEFT,56,F,1,22.5726459,88.3638953
264,01-11-2020,22.04,Kanpur,SEXUAL ASSAULT,69,F,3,26.4609135,80.3217588
265,01-12-2020,19.08,Visakhapatnam,COUNTERFEITING,79,F,2,17.6935526,83.2921297
266,01-12-2020,3.39,Chennai,IDENTITY THEFT,17,F,1,13.0836939,80.270186
267,01-12-2020,8.13,Nagpur,ILLEGAL POSSESSION,71,F,2,21.1498134,79.0820556
268,01-12-2020,23.31,Kanpur,KIDNAPPING,16,F,3,26.4609135,80.3217588
269,01-12-2020,8.35,Surat,ROBBERY,71,M,3,21.2094892,72.8317058
270,01-12-2020,7.42,Srinagar,SHOPLIFTING,50,M,1,34.0747444,74.8204443
271,01-12-2020,8.31,Indore,DRUG OFFENSE,38,M,2,22.7203616,75.8681996
272,01-12-2020,23.49,Hyderabad,PUBLIC INTOXICATION,39,F,1,17.360589,78.4740613
273,01-12-2020,11.51,Delhi,IDENTITY THEFT,36,M,1,28.6328027,77.2197713
274,01-12-2020,14.37,Bangalore,VEHICLE - STOLEN,56,F,2,12.9767936,77.590082
275,01-12-2020,4.01,Bhopal,TRAFFIC VIOLATION,78,M,1,23.2584857,77.401989
276,01-12-2020,6.07,Ahmedabad,ASSAULT,21,M,3,23.0215374,72.5800568
277,01-12-2020,10.15,Indore,ASSAULT,10,F,3,22.7203616,75.8681996
278,01-12-2020,13.29,Bhopal,TRAFFIC VIOLATION,44,F,1,23.2584857,77.401989
279,01-12-2020,4.56,Chennai,TRAFFIC VIOLATION,58,M,1,13.0836939,80.270186
280,01-12-2020,4.19,Ludhiana,KIDNAPPING,45,F,3,30.9090157,75.851601
281,01-12-2020,10.14,Srinagar,FIREARM OFFENSE,12,F,2,34.0747444,74.8204443
282,01-12-2020,0.49,Ludhiana,FRAUD,62,F,2,30.9090157,75.851601
283,01-12-2020,1.20,Ludhiana,BURGLARY,48,F,2,30.9090157,75.851601
284,01-12-2020,3.34,Mumbai,ARSON,55,F,3,19.054999,72.8692035
285,01-12-2020,15.38,Indore,ASSAULT,70,F,3,22.7203616,75.8681996
286,01-12-2020,5.53,Mumbai,SHOPLIFTING,38,M,1,19.054999,72.8692035
287,01-12-2020,16.05,Pune,VEHICLE - STOLEN,12,F,2,18.5213738,73.8545071
288,01-12-2020,1.39,Bangalore,IDENTITY THEFT,30,F,1,12.9767936,77.590082
289,13-01-2020,15.29,Chennai,ILLEGAL POSSESSION,25,F,2,13.0836939,80.270186
290,13-01-2020,10.14,Ahmedabad,EXTORTION,22,F,3,23.0215374,72.5800568
291,13-01-2020,8.25,Chennai,SHOPLIFTING,69,F,1,13.0836939,80.270186
292,13-01-2020,20.23,Chennai,BURGLARY,31,F,2,13.0836939,80.270186
293,13-01-2020,11.50,Thane,BURGLARY,59,M,2,19.1943294,72.9701779
294,13-01-2020,10.55,Chennai,ASSAULT,51,F,3,13.0836939,80.270186
295,13-01-2020,11.43,Bangalore,DOMESTIC VIOLENCE,48,M,3,12.9767936,77.590082
296,13-01-2020,13.14,Kolkata,VANDALISM,62,M,1,22.5726459,88.3638953
297,13-01-2020,16.27,Delhi,TRAFFIC VIOLATION,50,M,1,28.6328027,77.2197713
298,13-01-2020,4.47,Kolkata,IDENTITY THEFT,32,M,1,22.5726459,88.3638953
299,13-01-2020,4.55,Srinagar,SEXUAL ASSAULT,40,F,3,34.0747444,74.8204443
